episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height
233,0.863,73,0,100,27,10.0,8.63
234,0.771,77,0,100,23,10.0,7.71
235,0.853,74,0,100,26,10.0,8.53
236,0.867,76,0,100,24,10.0,8.67
237,0.638,79,0,100,21,10.0,6.38
238,0.802,78,0,100,22,10.0,8.02
239,0.791,77,0,100,23,10.0,7.91
240,0.745,76,0,100,24,10.0,7.45
241,0.836,78,0,100,22,10.0,8.36
242,0.838,77,0,100,23,10.0,8.38
243,0.744,75,0,100,25,10.0,7.44
244,0.7,79,0,100,21,10.0,7.0
245,0.828,78,0,100,22,10.0,8.28
246,0.752,74,0,100,26,10.0,7.52
247,0.884,70,0,100,30,10.0,8.84
248,0.795,80,0,100,20,10.0,7.95
249,0.659,78,0,100,22,10.0,6.59
250,0.743,79,0,100,21,10.0,7.43
251,0.822,71,0,100,29,10.0,8.22
252,0.78,71,0,100,29,10.0,7.8
253,0.77,80,0,100,20,10.0,7.7
254,0.744,78,0,100,22,10.0,7.44
255,0.719,74,0,100,26,10.0,7.19
256,0.895,73,0,100,27,10.0,8.95
257,0.734,72,0,100,28,10.0,7.34
258,0.793,73,0,100,27,10.0,7.93
259,0.813,78,0,100,22,10.0,8.13
260,0.893,68,0,100,32,10.0,8.93
261,0.732,79,0,100,21,10.0,7.32
262,0.816,78,0,100,22,10.0,8.16
263,0.832,69,0,100,31,10.0,8.32
264,0.755,77,0,100,23,10.0,7.55
265,0.761,78,0,100,22,10.0,7.61
266,0.752,78,0,100,22,10.0,7.52
267,0.849,74,0,100,26,10.0,8.49
268,0.792,79,0,100,21,10.0,7.92
269,0.833,75,0,100,25,10.0,8.33
270,0.854,72,0,100,28,10.0,8.54
271,0.816,82,0,100,18,10.0,8.16
272,0.885,75,0,100,25,10.0,8.85
273,0.704,82,0,100,18,10.0,7.04
274,0.815,74,0,100,26,10.0,8.15
275,0.764,80,0,100,20,10.0,7.64
276,0.703,81,0,100,19,10.0,7.03
277,0.903,73,0,100,27,10.0,9.03
278,0.74,77,0,100,23,10.0,7.4
279,0.844,76,0,100,24,10.0,8.44
280,0.89,73,0,100,27,10.0,8.9
281,0.819,71,0,100,29,10.0,8.19
282,0.741,74,0,100,26,10.0,7.41
283,0.691,78,0,100,22,10.0,6.91
284,0.716,80,0,100,20,10.0,7.16
285,0.822,75,0,100,25,10.0,8.22
286,0.8,78,0,100,22,10.0,8.0
